No.,Gene,Log(FC),Adj-Pvalue,HR,Adj-Pvalue
21401,RP11-266J6.2,0.072140829,0.614597724,0,0
21402,LRRC71,-0.094413783,0.614804365,1.162,0.000793
21403,PFKFB3,0.050141761,0.61487086,1.048,0.4061
21404,ARPC4-TTLL3,-0.05748798,0.615009624,1.148,0.06242
21405,MTX2,0.025845725,0.615020269,1.074,0.5463
21406,MFRP,0.070087859,0.615059355,1.044,0.5
21407,TSPO2,0.076391034,0.615108767,0.991,0.8808
21408,FLVCR1,-0.03692052,0.615184336,1.15,0.1779
21409,GDF3,0.07638617,0.615505787,0.9456,0.2096
21410,RP11-90P13.1,0.092885775,0.616050235,0,0
21411,CYP2T1P,-0.056483211,0.616200301,1.022,0.7553
21412,RP11-372B4.3,-0.062873985,0.616303227,0,0
21413,FBXW5,-0.03874338,0.616308715,1.083,0.4705
21414,HNRNPA1P38,0.045769477,0.616340562,0.979,0.8055
21415,AGAP5,-0.07212103,0.61641733,1.163,0.007562
21416,CRNKL1,0.023476094,0.616465039,0.7819,0.02004
21417,FNBP1P1,-0.063921793,0.616541743,1.033,0.5652
21418,ATP8B2,0.047065299,0.61658091,1.05,0.4911
21419,AGBL5,-0.03235184,0.616634635,0.9264,0.4276
21420,TTC4P1,-0.129144599,0.616729126,1.013,0.7088
21421,AC005480.1,0.097485895,0.616736736,0,0
21422,LLNLR-307A6.1,0.094868677,0.61710698,0,0
21423,RPAP3,-0.024412096,0.617186088,0.9704,0.7794
21424,RNU12,-0.116140426,0.617187136,1.246,0.00000828
21425,ST13P18,0.067136139,0.617325021,0.802,0.0008486
21426,SLC38A6,-0.038764502,0.61743737,1.189,0.1428
21427,CLK4,-0.046655914,0.617441367,0.9369,0.3731
21428,CTD-2010I16.1,0.050620473,0.617450416,0,0
21429,LINC00961,0.057152364,0.617467958,0.8075,0.0002619
21430,NUP98,-0.023712922,0.617468613,0.8846,0.2142
21431,PPFIA1,-0.019956311,0.617488195,0.8804,0.18
21432,CCDC61,-0.033676194,0.617820325,1.211,0.1615
21433,GPR27,-0.09270587,0.617830884,0.9998,0.9963
21434,ACOT11,0.069484821,0.617857951,0.8976,0.04669
21435,APMAP,-0.031422273,0.61791985,1.184,0.1372
21436,KRT5,-0.143568449,0.617946127,1.133,0.0000204
21437,CHRDL1,-0.168088598,0.617972908,1.053,0.01087
21438,AMN,0.090242839,0.618163595,0.8909,0.0001196
21439,THBS1,0.054940033,0.618205454,0.9269,0.1784
21440,PKD1P6,-0.054915322,0.618249147,1.185,0.01315
21441,HMGB1P31,-0.043571976,0.618282206,1.158,0.0944
21442,AC144530.1,0.048143538,0.61828542,0,0
21443,RP13-20L14.1,-0.102020684,0.618300874,0,0
21444,GNRH2,-0.096038901,0.618321572,1.207,0.002181
21445,RPGRIP1,-0.046233239,0.618412346,1.104,0.2583
21446,PAPSS2,-0.051128108,0.618438039,0.9865,0.8275
21447,SLC25A10,-0.062658082,0.618441678,1.005,0.9332
21448,TIAL1,0.019595727,0.618499132,0.9543,0.6856
21449,RP11-161M6.6,-0.051144617,0.6185218,0,0
21450,LINC00645,0.174111314,0.618539474,0.9868,0.5054
21451,ANKRD28,0.036273783,0.618608471,0.9575,0.6187
21452,RNU6-322P,0.086054105,0.61866674,1.031,0.5577
21453,RPS18,-0.042120272,0.618886349,1.172,0.09299
21454,PSMD6-AS2,0.072191362,0.619052192,1.037,0.544
21455,AC004987.9,0.03821125,0.619089759,0,0
21456,TMEM14C,-0.032972894,0.619102052,1.02,0.8721
21457,IMPA1,0.032870118,0.619125564,1.011,0.9196
21458,PLEKHA8,0.029710419,0.619173344,0.9296,0.4714
21459,HTR4,0.102043246,0.619225258,0.987,0.8096
21460,RP11-573M3.3,-0.076439226,0.619229648,0,0
21461,STAU1,-0.022495156,0.619266143,0.8567,0.1117
21462,PLAT,0.056861758,0.619270674,0.932,0.1982
21463,WDR3,0.027652669,0.619403634,0.8595,0.101
21464,UPP1,-0.059379134,0.619421889,1.354,0.00000999
21465,TOMM40L,-0.026096118,0.619468801,1.046,0.7036
21466,AKAP7,0.035288441,0.619479408,0.8777,0.1343
21467,ATL3,0.027588974,0.619581706,0.9011,0.2794
21468,TBRG1,-0.026352215,0.619603486,1.271,0.05123
21469,CARD8-AS1,0.032608546,0.619639846,0.8617,0.1021
21470,VRK2,-0.029188588,0.619640053,0.9944,0.955
21471,NBPF11,-0.038480487,0.619866143,1.197,0.03903
21472,AC024560.3,-0.056104149,0.620076475,0,0
21473,BRI3P1,-0.07283219,0.620209344,0.8936,0.09732
21474,EMX1,-0.066658708,0.620221687,0.9242,0.05387
21475,RHBDD2,-0.041696765,0.620270213,1.257,0.03351
21476,AC006129.1,-0.06680652,0.620445546,0,0
21477,AC017002.1,-0.069570446,0.620479487,0,0
21478,RP11-10L12.4,-0.033241573,0.620539107,0,0
21479,CTD-2561B21.5,-0.082059533,0.620714772,0,0
21480,GSR,0.039873984,0.620731237,0.8757,0.1312
21481,GRAMD4,-0.058697161,0.620950446,1.141,0.045
21482,RP3-400B16.1,0.04408243,0.620963932,0,0
21483,AC011239.2,-0.093283784,0.621030527,0,0
21484,AC005077.14,0.1177188,0.621030952,0,0
21485,EP400,-0.024793556,0.621080239,1.115,0.3075
21486,AP000223.42,0.066132813,0.621108328,0,0
21487,RP11-34P1.2,0.099989384,0.62111814,0,0
21488,TAF11,0.0197462,0.621252823,0.9827,0.8823
21489,C11orf42,0.0727341,0.621327708,0.9147,0.1104
21490,RP11-367J11.3,0.055127706,0.621366933,0,0
21491,AC104809.3,0.098006667,0.621448249,0,0
21492,AHCTF1,0.025787006,0.62146399,0.9497,0.5723
21493,AC090587.4,0.055685412,0.62148618,0,0
21494,PGAM1,0.03905193,0.621518514,0.8946,0.09084
21495,TRIM5,-0.024081611,0.621575651,0.9464,0.59
21496,IL5,0.103627487,0.621636535,0.9597,0.5163
21497,ULK2,0.026066519,0.62183895,0.9684,0.7533
21498,FBXW11P1,-0.063753535,0.621847014,1.147,0.04109
21499,PLEKHJ1,-0.044878244,0.621871401,1.023,0.8121
21500,RP11-3P17.5,-0.082476713,0.621884205,0,0
21501,LHX4,-0.066361982,0.621903636,1.016,0.7758
21502,R3HCC1L,0.030155764,0.621912428,0.926,0.4148
21503,KCNA3,-0.071544616,0.621929596,0.9199,0.06232
21504,BCL9L,-0.041177886,0.621951464,0.9569,0.5056
21505,CATSPER2,0.069415909,0.622031528,1.25,0.0005581
21506,BRINP2,-0.127426381,0.622058449,1.05,0.2506
21507,RP4-665N4.8,-0.090186199,0.62209147,0,0
21508,ZNRF2,0.036125897,0.622194978,0.8241,0.01158
21509,RP11-71E19.1,-0.081345967,0.622210641,0,0
21510,UBE2B,-0.029512198,0.622353012,0.8566,0.1449
21511,FUCA2,-0.028477096,0.622387558,1.053,0.6485
21512,SRRM2-AS1,-0.064354561,0.62239038,1.195,0.007181
21513,WASF3,0.05351226,0.622396447,0.979,0.711
21514,TMEM62,0.025841115,0.622465103,0.9493,0.6713
21515,RP11-148B6.1,0.085902389,0.622548402,0,0
21516,RP11-363E6.4,-0.070208302,0.622589282,0,0
21517,NFIX,0.038996939,0.622664162,0.8791,0.08
21518,CYP2B7P,0.095846368,0.622675523,1.119,0.02227
21519,YBX1P4,-0.098749473,0.622755106,1.011,0.8584
21520,CFAP36,0.033658611,0.622774637,0.9544,0.5983
21521,DND1P1,0.087052576,0.622843239,1.094,0.05984
21522,ZNF500,0.024567352,0.622872258,0.9618,0.721
21523,RP11-17A1.3,0.063352643,0.622994379,0,0
21524,DEDD,-0.019028849,0.623035982,1.128,0.3674
21525,TRAV12-2,-0.098982641,0.623056093,0.9769,0.5295
21526,LINC01144,-0.046257219,0.623112265,0.9908,0.8995
21527,A1BG,-0.069625511,0.623148063,1.106,0.1019
21528,RP11-390K5.6,-0.065446911,0.623228657,0,0
21529,ACA59,-0.085152808,0.623256147,1.191,0.00419
21530,C3orf67,-0.05983767,0.623266509,1.015,0.7914
21531,SPP1,0.072833416,0.623312073,1.067,0.2393
21532,LINC00526,0.042112345,0.623339448,0.8549,0.009194
21533,SRSF12,0.061956489,0.623344229,1.009,0.8831
21534,HNRNPA1L2,-0.030680557,0.623458673,1.202,0.089
21535,RP4-756G23.5,-0.044483987,0.623521091,0,0
21536,CTNNAP1,-0.068665962,0.623613301,0.8849,0.07928
21537,CASP10,-0.029637414,0.623616971,1.073,0.4654
21538,DCUN1D3,-0.038036692,0.623636799,1.159,0.1171
21539,ZNF623,0.023990332,0.623640607,0.9002,0.2602
21540,GOLGA2P10,-0.049451103,0.623655584,1.12,0.1149
21541,FAM71F2,0.082287986,0.623695589,1.175,0.001791
21542,GFPT1,0.032755605,0.623736139,0.9,0.2355
21543,DDX60,0.044341651,0.623926439,0.8055,0.0003565
21544,ILF3,-0.018183078,0.623930694,1.125,0.339
21545,LIN7B,-0.056265707,0.624083042,1.305,0.003187
21546,RP11-4B16.4,0.07355963,0.624112381,0,0
21547,SSBP3,-0.031107552,0.62411775,0.926,0.4733
21548,MYO15A,-0.068785489,0.62412724,1.272,0.0002182
21549,CCDC183,-0.06041287,0.624220028,1.038,0.624
21550,RP11-108M9.5,-0.058670868,0.624273348,0,0
21551,CTD-2583A14.9,0.069105872,0.624341686,0,0
21552,KCNK12,0.081584508,0.624462884,1.02,0.7494
21553,TRAM1,0.041615745,0.624514909,0.9267,0.4179
21554,PNO1,-0.031262301,0.624632105,1.007,0.9461
21555,CTD-2203K17.1,0.056846597,0.624689875,0,0
21556,CTD-2292M16.8,0.042201029,0.624847849,0,0
21557,RBM44,-0.070683718,0.624885596,1.183,0.002926
21558,LRRFIP1P1,-0.052715317,0.62494837,1.088,0.1974
21559,POM121L9P,-0.096501877,0.625011335,1.235,0.00000171
21560,RP11-182L21.6,-0.032064742,0.62513118,0,0
21561,NDUFA9,-0.038348494,0.625148559,1.081,0.4682
21562,ZNF295-AS1,-0.06787439,0.625152773,1.123,0.0816
21563,ZBTB11,0.025669983,0.625164485,0.8541,0.09523
21564,CEP170P1,0.067380454,0.625283395,0.9147,0.1127
21565,HTR7,0.070390399,0.625366141,0.9461,0.2045
21566,DLG3,0.027434263,0.625372095,0.8477,0.08388
21567,LINC01587,-0.094871532,0.625505636,0.9827,0.5597
21568,C18orf54,0.040137305,0.625665893,1.045,0.5949
21569,ST6GALNAC5,0.131292455,0.625681855,1.035,0.293
21570,LARP7,0.02139737,0.625698924,0.8942,0.2798
21571,RP11-168K11.2,0.062090482,0.62570949,0,0
21572,SCLT1,-0.031482025,0.625838951,1.119,0.3416
21573,RAB11FIP3,0.042734979,0.625857234,0.866,0.04391
21574,HTR2A,0.109742971,0.625922561,1.042,0.3124
21575,RP11-322E11.2,-0.09279406,0.625973837,0,0
21576,ZNF608,-0.052144345,0.626136057,1.054,0.4209
21577,CD320,0.046826639,0.626356091,1.142,0.2114
21578,RP11-503C24.6,0.109673758,0.626399916,0,0
21579,HSBP1,0.033585893,0.626441202,0.9938,0.9589
21580,PKIB,0.072193758,0.626620399,0.9309,0.2305
21581,RP11-537H15.3,-0.082408233,0.6266368,0,0
21582,RP11-244H3.4,-0.041846558,0.626638678,0,0
21583,SH3PXD2B,-0.056205436,0.626691129,1.051,0.429
21584,RP11-114N19.3,0.060084293,0.626708874,0,0
21585,TRGC1,0.075562925,0.626710717,0.9319,0.148
21586,AC147651.5,0.093940709,0.626793441,0,0
21587,C14orf166,-0.02773499,0.626923459,1.179,0.2612
21588,PPP1R9A,0.052561854,0.627081351,0.9147,0.1556
21589,FRG1B,0.043720534,0.627082672,0.8812,0.04005
21590,HIST1H2BN,-0.043972382,0.627211827,1.059,0.4461
21591,EIF3EP1,-0.039010097,0.627290403,1.065,0.479
21592,LEMD1,-0.106709284,0.627293926,1.188,0.0000645
21593,FUZ,-0.034979153,0.627411101,0.8877,0.22
21594,RP11-649A18.3,0.091555812,0.627469669,0,0
21595,ARMC3,-0.098576669,0.62751526,0.9931,0.8527
21596,RP1-152L7.5,-0.060028167,0.627550357,0,0
21597,MYC,-0.054192516,0.627719489,1.093,0.1104
21598,DNAI2,0.079035706,0.627760836,0.9401,0.257
21599,RP11-446H18.1,0.06338473,0.627796774,0,0
21600,FAM163A,0.070822033,0.627875554,0.9531,0.201
21601,DCK,0.037332441,0.627906691,0.8832,0.1019
21602,RP11-864J10.2,0.073350645,0.62794805,0,0
21603,MAPKAPK5,0.024351436,0.62798449,1.119,0.3962
21604,KIAA0226,0.023877704,0.628029588,0.9883,0.9115
21605,GPR157,-0.043267565,0.62816281,0.9559,0.6098
21606,SRRD,-0.021024776,0.628438289,0.9205,0.4623
21607,F11R,-0.030175466,0.628447691,0.9628,0.6869
21608,RP11-881M11.2,0.046026559,0.628530299,0,0
21609,CTD-3099C6.5,0.079993097,0.628633395,0,0
21610,LCMT1-AS1,-0.051807685,0.628667539,1.155,0.03453
21611,TPMT,0.037181301,0.628724767,0.8197,0.00628
21612,CELF1,-0.018899635,0.629028236,1.086,0.496
21613,MVD,-0.034521032,0.629112498,1.166,0.2164
21614,RP11-180N14.1,-0.078412345,0.629148911,0,0
21615,TTC25,0.046060995,0.629182595,0.8994,0.1318
21616,HSP90AA1,0.037975581,0.629381599,0.8756,0.1466
21617,KRT2,-0.092662369,0.629397564,1.07,0.1881
21618,HCG22,0.111354229,0.629411562,0.991,0.8554
21619,ZNF878,0.06092319,0.629441995,1.028,0.6418
21620,RP11-384C4.3,0.072228696,0.629463873,0,0
21621,TBC1D9B,-0.026281265,0.629576042,0.8812,0.1365
21622,PNPT1,0.023367726,0.629604325,1.08,0.5036
21623,DFFB,-0.032440588,0.629697574,1.087,0.3922
21624,EPHB6,-0.045157859,0.6298009,1.031,0.6898
21625,IL31RA,-0.097020194,0.629829352,1.2,0.0000266
21626,TUSC5,0.118790736,0.629851894,1.067,0.1136
21627,Y_RNA,-0.08463296,0.629936571,0,0
21628,EGR2,0.083849185,0.629953537,1.02,0.638
21629,CLEC4F,-0.085660843,0.629958506,0.9655,0.4109
21630,NT5DC3,0.064490106,0.630006197,1.065,0.2107
21631,C4orf27,0.023545454,0.630068498,0.9608,0.7657
21632,UBE2V1P2,0.082014376,0.630077527,1.077,0.3069
21633,GS1-72M22.1,0.124082807,0.630192871,0,0
21634,KIAA0196-AS1,0.071499576,0.630220683,1.015,0.8185
21635,CTD-2396E7.11,0.052634918,0.630232524,0,0
21636,RP11-142A23.1,-0.091985187,0.630304818,0,0
21637,PCDHB5,0.097591678,0.630305725,1.001,0.9716
21638,SYS1,-0.025745513,0.630369081,0.9516,0.6588
21639,RGAG1,-0.099518163,0.630441694,1.064,0.2258
21640,CTD-2026K11.4,0.041709711,0.630645064,0,0
21641,CTC-524C5.2,-0.072268094,0.630808357,0,0
21642,RPL4,-0.028510823,0.630843017,1.226,0.1094
21643,PPAPDC2,-0.027295263,0.630867229,0.8885,0.2666
21644,RP5-1057I20.4,-0.068146854,0.630877278,0,0
21645,MST1R,-0.066035076,0.630914856,0.9959,0.9451
21646,SEPW1,0.037638473,0.630920351,0.9659,0.7556
21647,FAM19A5,0.076930072,0.630941569,0.8924,0.00876
21648,TNK2-AS1,-0.062168857,0.631070034,1.079,0.2017
21649,LIN37,-0.034864303,0.63119862,1.286,0.02202
21650,ZNF138,0.034834584,0.631220151,1.105,0.3739
21651,RP1-283E3.4,0.055589982,0.631241781,0,0
21652,CLDN19,-0.133794874,0.631410187,0.9888,0.5685
21653,GNAI3,-0.024077605,0.631419631,0.8908,0.2842
21654,AC079466.1,-0.205548352,0.63143536,0,0
21655,CYCSP34,0.062046536,0.631852166,1.099,0.145
21656,RP11-404P21.9,0.134292496,0.632042016,0,0
21657,METTL21EP,0.068406341,0.632114925,1.083,0.2068
21658,ACTA1,0.084020831,0.632219562,1.09,0.07812
21659,MXRA7,-0.062349605,0.632253296,0.976,0.6805
21660,HLA-L,-0.058176997,0.63226029,1.046,0.4052
21661,RP11-95I16.4,-0.084724034,0.632331965,0,0
21662,BCORL1,0.028099159,0.632342867,0.9581,0.6208
21663,AC008746.12,-0.085718762,0.632457235,0,0
21664,SDCBP,-0.03266331,0.63254592,1.053,0.6008
21665,SAR1A,-0.019762512,0.632584676,1.019,0.89
21666,RP11-680F8.3,0.039703479,0.632643776,0,0
21667,TAS2R4,0.072632548,0.63269751,1.148,0.0162
21668,AP001476.2,0.111987788,0.632763172,0,0
21669,EEF1A1P17,-0.075573825,0.632821652,0.8919,0.05813
21670,RIOK1,0.021975809,0.633015214,1.036,0.7446
21671,HAGHL,-0.106456031,0.63307822,1.12,0.003862
21672,THUMPD2,0.025624674,0.633093732,1.138,0.2407
21673,RP11-562A8.4,-0.067902099,0.633103713,0,0
21674,HCG23,0.076996798,0.633123086,1.014,0.7794
21675,FAM71D,-0.089277885,0.633124709,1.157,0.0239
21676,RP11-492M23.2,0.075282968,0.633151814,0,0
21677,WDR12,0.026564005,0.633338414,0.8654,0.1481
21678,CTC-455F18.1,0.093065338,0.633406317,0,0
21679,ZNF12,0.024847494,0.633447302,0.9324,0.4383
21680,REP15,0.050059783,0.63349762,0.8968,0.1264
21681,CXXC5,-0.033772991,0.63351076,0.9951,0.964
21682,LRRIQ3,0.059144295,0.633535773,0.8795,0.02766
21683,EXOSC10,-0.017241897,0.633562326,1.027,0.8176
21684,CTD-2024P10.2,-0.056002265,0.633583029,0,0
21685,TMEM177,-0.035190239,0.633584171,1.049,0.5886
21686,IER5L,-0.055933363,0.633605828,1.206,0.007333
21687,TCF12,-0.03167249,0.633732689,0.9835,0.8508
21688,DDX21,0.036688622,0.633740982,0.909,0.2125
21689,RPSAP56,-0.078697211,0.633829601,1.156,0.01921
21690,ADH1B,0.11905853,0.633877208,0.9837,0.4959
21691,HCG4P5,-0.091410481,0.633913824,0.9495,0.1134
21692,COX6CP1,0.128270529,0.633942875,1.086,0.00644
21693,SERGEF,0.035656399,0.634030486,1.027,0.8388
21694,NETO2,0.053929582,0.634047546,0.9689,0.4575
21695,COL4A2,0.051073772,0.63406002,0.9594,0.4955
21696,SCARB1,0.062483454,0.634091323,0.9871,0.734
21697,AP3B2,-0.101817161,0.634259521,1.07,0.07564
21698,RP5-1063M23.2,0.091389578,0.634394019,0,0
21699,AF131215.9,-0.066726019,0.634405133,0,0
21700,RP1-40G4P.1,-0.060390511,0.634524986,0,0
21701,MT1G,-0.133222507,0.634536866,1.045,0.03186
21702,KCNJ9,0.075649929,0.634690872,0.963,0.4577
21703,USH1C,-0.069849244,0.634795902,0.9485,0.05846
21704,ERBB3,-0.060764722,0.634853279,0.7946,3.89E-07
21705,GTF3C1,-0.022966183,0.634962815,1.023,0.8377
21706,RP11-284F21.7,-0.061954344,0.634977181,0,0
21707,RPL35,-0.053193764,0.635031955,1.243,0.02042
21708,FBXO4,-0.027082779,0.635032206,1.005,0.9609
21709,RP11-242D8.2,0.075231789,0.635081419,0,0
21710,BBS10,-0.028222067,0.635250229,0.8948,0.1691
21711,ACVR1C,-0.091283759,0.63531154,1.05,0.2297
21712,DLX5,0.069857564,0.63533456,1.087,0.0581
21713,HTR7P1,0.033050483,0.635405949,1.01,0.9031
21714,RASA4CP,-0.045733651,0.635499116,1.012,0.8834
21715,DMXL2,-0.039511207,0.635849123,1.005,0.9486
21716,RP11-465N4.2,-0.082630032,0.635909702,0,0
21717,KRT8P3,-0.075868696,0.636008831,0.9875,0.8026
21718,ZNF92,-0.039179296,0.63605232,1.036,0.7188
21719,C7,-0.118202775,0.636062105,1.008,0.7472
21720,PABPC1P1,0.08036039,0.636122823,1.148,0.04833
21721,NKAIN4,0.13368586,0.636186962,1.084,0.002099
21722,RP11-540A21.2,0.060364591,0.636194175,0,0
21723,CTD-2553L13.9,0.032246522,0.636209112,0,0
21724,RP11-755E23.2,0.096203158,0.636245549,0,0
21725,FAM103A1,0.022718641,0.636377725,1.028,0.8355
21726,CTC-510F12.3,0.085507469,0.636495899,0,0
21727,RP5-1014D13.2,-0.060397409,0.636521603,0,0
21728,RP5-1029F21.2,-0.093053162,0.636528303,0,0
21729,MRI1,-0.035717911,0.636558089,1.01,0.9023
21730,KRT8P5,0.083680581,0.636569577,1.036,0.5833
21731,RP11-317P15.4,-0.058424256,0.636722348,0,0
21732,PIGG,-0.020065704,0.636747159,1.05,0.6779
21733,RP11-750H9.5,-0.050723122,0.636813557,0,0
21734,CCDC73,-0.05984723,0.636898827,1.094,0.1594
21735,AC022819.3,-0.088568873,0.636959208,0,0
21736,HSPB6,0.098759836,0.637086358,1.059,0.1347
21737,PDLIM3,0.064218237,0.637266748,1.117,0.04433
21738,AC006159.5,-0.092520719,0.637345632,0,0
21739,CTD-2126E3.3,-0.085963781,0.637445901,0,0
21740,GGT5,0.066294686,0.637446981,1.036,0.5253
21741,RP11-336A10.5,-0.066059389,0.637492508,0,0
21742,USP42,0.023522395,0.63750128,0.8693,0.184
21743,RP11-282O18.7,-0.079634584,0.637611574,0,0
21744,TXNDC5,0.048080992,0.637664104,0.9567,0.4574
21745,RP11-611L7.2,0.054640832,0.637666118,0,0
21746,NUCB1,-0.026728031,0.637724708,0.9902,0.9329
21747,HEXB,-0.032328332,0.637858319,0.973,0.7903
21748,IYD,0.107190098,0.637913763,0.8955,0.000021
21749,KRT86,-0.074853574,0.638160181,1.117,0.02775
21750,RP11-435O5.4,-0.082854397,0.638183491,0,0
21751,SNAI1,0.067507818,0.63822036,1.191,0.001967
21752,ADAMTS8,-0.066390927,0.638272475,1.002,0.9755
21753,HNRNPCP3,-0.069046996,0.638411636,1.042,0.5969
21754,CSNK2B-LY6G5B-562,-0.051799098,0.638534901,0,0
21755,PLAA,0.024184569,0.638572685,0.8718,0.1369
21756,RP11-1072C15.6,0.056147995,0.638789227,0,0
21757,ADRA1B,0.057323002,0.63881533,0.9094,0.04882
21758,TAF15,-0.025323482,0.63886997,1.161,0.1579
21759,NDUFB9,-0.043274252,0.639099529,1.094,0.3398
21760,AC090616.2,-0.07282801,0.639182859,0,0
21761,DRAXIN,0.085201844,0.639194552,1.125,0.02349
21762,SH3BGR,-0.037778248,0.639290046,0.9698,0.727
21763,AB019441.29,-0.064020326,0.639392166,0,0
21764,RRN3P3,-0.038879786,0.639427503,1.278,0.01708
21765,FKSG48,-0.096976213,0.63953187,0,0
21766,RP1-197B17.5,0.0621252,0.639780401,0,0
21767,AC005255.3,-0.036484194,0.639819104,0,0
21768,FBXO16,0.052345258,0.639831225,0.9852,0.8293
21769,APTX,0.023624872,0.639942813,1.027,0.8452
21770,Mar-03,0.042664053,0.639994787,0,0
21771,NPPA,0.084321707,0.64000272,1.139,0.01348
21772,RP1-203P18.1,-0.067027297,0.640121371,0,0
21773,UBXN10-AS1,0.07606421,0.640230764,1.027,0.6569
21774,C3orf58,0.037406449,0.640317205,0.9444,0.474
21775,RP11-498C9.15,0.040936628,0.640318202,0,0
21776,AC023115.2,-0.095258641,0.640413844,0,0
21777,MGMT,-0.045918238,0.640463303,0.9684,0.7333
21778,ZNF192P1,0.057277006,0.640521295,1.117,0.09521
21779,PCDHB10,0.050385978,0.640595426,0.9609,0.471
21780,ZNF674-AS1,-0.037637807,0.640610424,1.177,0.06016
21781,CETN4P,0.067563518,0.640621782,0.9891,0.8428
21782,ACAD10,-0.035432927,0.640647297,1.035,0.6917
21783,PRRC2A,-0.022872107,0.64065181,1.033,0.7483
21784,PPL,0.059177912,0.640707052,0.9977,0.9654
21785,MRPS7,0.026270355,0.640711428,0.9732,0.8137
21786,RP11-552M11.4,0.052797032,0.640951693,0,0
21787,RNU6-1053P,0.080075765,0.640963687,1.108,0.05883
21788,CTD-3224K15.3,-0.069499441,0.641011637,0,0
21789,C16orf47,-0.052446372,0.64117133,1.057,0.4488
21790,ATP6V1C2,0.068960212,0.641178582,1.086,0.01876
21791,EIF3H,0.024932989,0.641321774,0.9082,0.3783
21792,PINX1,-0.029497396,0.641350454,0.9835,0.8915
21793,EMR3,-0.071916383,0.641525098,0.9936,0.9054
21794,RP11-615I2.2,-0.124144249,0.641545146,0,0
21795,PILRB,-0.092058676,0.641597746,1.127,0.003101
21796,GATS,-0.044267589,0.641750189,0.9121,0.242
21797,RP11-490B18.6,-0.065088311,0.641873687,0,0
21798,RTCA,-0.018338221,0.642065836,0.9023,0.3821
21799,KRTAP5-9,-0.079055456,0.642113327,1.044,0.4585
21800,AC022007.5,-0.060908524,0.642172955,0,0
21801,MINA,0.04643804,0.642264232,1.057,0.4412
21802,AC068580.6,-0.059030339,0.642360451,0,0
21803,RP4-593H12.1,-0.062612032,0.642363978,0,0
21804,LRRD1,0.084542135,0.642380936,1.173,0.01286
21805,CHMP4A,-0.04407453,0.642403632,1.514,0.0000289
21806,STAG3L2,0.04882382,0.642676322,1.015,0.8341
21807,CPNE4,0.108221482,0.642681939,1.021,0.5233
21808,RP11-234A1.1,-0.047969911,0.642735091,0,0
21809,CD226,-0.051155955,0.642777087,0.9402,0.3497
21810,RPS3AP34,-0.067663913,0.642792175,1.059,0.386
21811,AC002310.10,-0.094540673,0.642920759,0,0
21812,HNF4A,0.083988493,0.643142189,0.9297,0.003647
21813,EIF2B3,-0.021748691,0.643231339,0.8492,0.2067
21814,IGLV3-27,-0.137917636,0.643373821,1.095,0.001337
21815,PTPRE,0.031659525,0.64346713,1.006,0.9265
21816,RN7SL263P,-0.092943607,0.643920239,1.125,0.09086
21817,CTC-559E9.5,0.034575795,0.643924768,0,0
21818,RP11-95O2.5,0.075576456,0.644093463,0,0
21819,LYRM4,-0.029865945,0.644119704,1.197,0.1704
21820,LINC00958,0.059596198,0.6441248,1.028,0.6233
21821,RP11-245G13.2,0.099815066,0.644129892,0,0
21822,CTC-1337H24.4,-0.079548946,0.644189392,0,0
21823,GOLGA8Q,0.082578459,0.644294778,1.004,0.9485
21824,RP11-258F1.1,0.065103746,0.644351097,0,0
21825,NKAIN2,-0.098033159,0.644404884,1.029,0.4903
21826,PSMA3-AS1,0.043704731,0.644500226,1.186,0.04942
21827,ZNF814,0.046596828,0.64452032,1.129,0.2028
21828,C17orf51,-0.045568223,0.644539045,1.047,0.5252
21829,RPS10P3,-0.05557126,0.644754764,1.067,0.384
21830,RP11-635L1.2,0.082973084,0.644830923,0,0
21831,APC2,-0.036098153,0.644991675,0.9202,0.308
21832,FGA,-0.175532696,0.645106778,1.045,0.01242
21833,RP11-448G15.3,0.071754741,0.645113416,0,0
21834,C14orf2,0.041437544,0.645115308,1.136,0.2539
21835,PGK1P2,-0.046282052,0.645143265,0.9548,0.5349
21836,RP11-327L3.3,0.080778206,0.645261487,0,0
21837,GLS,-0.037809849,0.645380242,0.9425,0.4128
21838,PKD1L2,-0.106237519,0.645458628,1.184,0.00000224
21839,HSP90B3P,-0.079574332,0.645534366,1.187,0.01777
21840,LY6E,0.066652249,0.64560071,1.047,0.3409
21841,SDF2,-0.020448041,0.645640856,1.068,0.6002
21842,RP1-122O8.7,0.068408232,0.645675687,0,0
21843,RP11-554I8.2,-0.072081513,0.64578491,0,0
21844,XRN2,0.028581409,0.645866621,0.8721,0.1025
21845,RP11-380B4.3,0.049870648,0.645907451,0,0
21846,CH17-373J23.1,0.079730051,0.645985426,0,0
21847,GPA33,0.069019208,0.646248832,0.9472,0.2837
21848,AGO4,-0.027139796,0.646424166,1.073,0.4722
21849,SGSM2,-0.038397403,0.646499227,1.221,0.03657
21850,RP11-195F19.30,0.051986511,0.646602499,0,0
21851,CDH22,-0.137038493,0.646626748,1.081,0.005985
21852,RP11-686O6.2,0.038288736,0.646632454,0,0
21853,NR1I2,0.078941249,0.646730974,1.196,0.0008363
21854,C1RL-AS1,-0.055995635,0.646759193,1,0.9987
21855,RP11-690I21.1,-0.075111129,0.646843727,0,0
21856,RP11-196G11.3,-0.061388202,0.646889381,0,0
